_id,Crop,Scientific_name
66fcb937bb1d40464e7b431d,apple,Malus Pumila
66fcb937bb1d40464e7b431e,banana,Musa
66fcb937bb1d40464e7b431f,blackgram,Vigns mungo
66fcb937bb1d40464e7b4320,chickpea,Cicer arietinum
66fcb937bb1d40464e7b4321,coconut,Cocos nucifera
66fcb937bb1d40464e7b4322,coffee,Coffea
66fcb937bb1d40464e7b4323,cotton,Gossypium
66fcb937bb1d40464e7b4324,grapes,Vitis
66fcb937bb1d40464e7b4325,jute,Corchorus capsularis
66fcb937bb1d40464e7b4326,kidneybeans,Phaseolus vulgaris
66fcb937bb1d40464e7b4327,lentil,Lens culinaris
66fcb937bb1d40464e7b4328,maize,Zea mays
66fcb937bb1d40464e7b4329,mungbean,Vigna radiata
66fcb937bb1d40464e7b432a,mango,Magnifera indica
66fcb937bb1d40464e7b432b,mothbeans,Vigna aconitifolia
66fcb937bb1d40464e7b432c,muskmelon,Cucumis melo
66fcb937bb1d40464e7b432d,orange,Citrus X sinensis
66fcb937bb1d40464e7b432e,papaya,Carica papaya
66fcb937bb1d40464e7b432f,rice,Oryza sativa
66fcb937bb1d40464e7b4330,pigeonpeas,Cajanus cajan
66fcb937bb1d40464e7b4331,pomegranate,Punica granatum
66fcb937bb1d40464e7b4332,watermelon,Citrullus lanatus
